hs_code,description,mfn_rate,canada_preferential_rate,fta_name,uom,notes
0407,Birds eggs in shell,13.6%,Free,Canada-UK TCA,NMB,TRQ
0409,Natural honey,17.3%,Free,Canada-UK TCA,KG,
05,OTHER ANIMAL PRODUCTS,,,,
0511,Other animal products NES,Free,Free,Canada-UK TCA,KG,
06,LIVE TREES AND PLANTS,,,,
0602,Other live plants shrubs trees,Free,Free,Canada-UK TCA,NMB,
0603,Cut flowers and flower buds,Free-5.1%,Free,Canada-UK TCA,NMB,
07,EDIBLE VEGETABLES,,,,
0701,Potatoes fresh or chilled,Free,Free,Canada-UK TCA,KG,
0702,Tomatoes fresh or chilled,8.8%,Free,Canada-UK TCA,KG,
0703,Onions shallots garlic leeks,Free-9.6%,Free,Canada-UK TCA,KG,
0704,Cabbages cauliflower brassicas,Free-10.1%,Free,Canada-UK TCA,KG,
0709,Other vegetables NES,Free-14.4%,Free,Canada-UK TCA,KG,
0710,Frozen vegetables,14.4%,Free,Canada-UK TCA,KG,Sweet corn TRQ
0712,Dried vegetables,Free-9.5%,Free,Canada-UK TCA,KG,
08,EDIBLE FRUIT AND NUTS,,,,
0806,Grapes fresh or dried,4.5%,Free,Canada-UK TCA,KG,
0807,Melons and watermelons,8.8%,Free,Canada-UK TCA,KG,
0808,Apples pears and quinces,Free-6%,Free,Canada-UK TCA,KG,
0810,Other fresh fruit strawberries,Free-11.2%,Free,Canada-UK TCA,KG,
0811,Frozen fruit and nuts,14.4%,Free,Canada-UK TCA,KG,
09,COFFEE TEA SPICES,,,,
0901,Coffee roasted or unroasted,Free,Free,Canada-UK TCA,KG,
0902,Tea,Free,Free,Canada-UK TCA,KG,
10,CEREALS,,,,
1001,Common wheat and meslin,£0.78/t,Free,Canada-UK TCA,KG,UK Global Tariff; TRQ applies
1003,Barley,Free,Free,Canada-UK TCA,KG,UK reduced cereal tariffs vs EU CET
1004,Oats,Free,Free,Canada-UK TCA,KG,
1005,Maize (corn),Free,Free,Canada-UK TCA,KG,UK reduced tariff on maize
1008,Buckwheat millet canary seed,Free,Free,Canada-UK TCA,KG,
11,MILLING PRODUCTS,,,,
1101,Wheat or meslin flour,£0.79/t,Free,Canada-UK TCA,KG,UK lower than EU CET
12,OIL SEEDS,,,,
1201,Soybeans,Free,Free,Canada-UK TCA,KG,
1205,Rapeseed/canola,Free,Free,Canada-UK TCA,KG,Major Canadian export
1207,Other oil seeds hemp mustard,Free,Free,Canada-UK TCA,KG,
15,ANIMAL AND VEGETABLE FATS,,,,
1514,Rapeseed/canola/mustard oil,6.4%,Free,Canada-UK TCA,KG,
1515,Other fixed vegetable oils,Free-9%,Free,Canada-UK TCA,KG,
16,MEAT AND FISH PREPARATIONS,,,,
1601,Sausages and similar,12.8%,Free,Canada-UK TCA,KG,
1602,Other prepared or preserved meat,12.8%-26.2%,Free,Canada-UK TCA,KG,
1604,Prepared or preserved fish,11-20%,Free,Canada-UK TCA,KG,
1605,Crustaceans molluscs prepared,5-20%,Free,Canada-UK TCA,KG,
17,SUGARS,,,,
1701,Cane or beet sugar,Free-£2.47/t,Free,Canada-UK TCA,KG,UK reduced sugar tariffs vs EU
1702,Other sugars and maple syrup,Free,Free,Canada-UK TCA,KG,Maple syrup: 0%
1704,Sugar confectionery no cocoa,12%,Free,Canada-UK TCA,KG,
18,COCOA,,,,
1801,Cocoa beans,Free,Free,Canada-UK TCA,KG,
1806,Chocolate and cocoa preparations,8-30%,Free,Canada-UK TCA,KG,
19,CEREAL PREPARATIONS,,,,
1902,Pasta noodles,Free-6.4%,Free,Canada-UK TCA,KG,
1905,Bread pastry cakes biscuits,Free-9%,Free,Canada-UK TCA,KG,
20,VEGETABLE AND FRUIT PREPARATIONS,,,,
2002,Tomatoes prepared or preserved,14.4%,Free,Canada-UK TCA,KG,
2007,Jams jellies marmalades,20.8%,Free,Canada-UK TCA,KG,
2009,Fruit juices unfermented,12-33%,Free,Canada-UK TCA,LT,
21,MISCELLANEOUS FOOD PREPARATIONS,,,,
2101,Extracts of coffee tea,9%,Free,Canada-UK TCA,KG,
2106,Food preparations NES,Free-26%,Free,Canada-UK TCA,KG,
22,BEVERAGES,,,,
2201,Waters and mineral waters,Free,Free,Canada-UK TCA,LT,
2202,Non-alcoholic beverages,Free-9.6%,Free,Canada-UK TCA,LT,
2203,Beer made from malt,Free,Free,Canada-UK TCA,LT,UK reduced beer tariffs post-Brexit
2204,Wine of fresh grapes,Free,Free,Canada-UK TCA,LT,UK 0% MFN on still wine (UKGT reduced vs EU); 0% TCA
2206,Other fermented beverages cider,Free,Free,Canada-UK TCA,LT,
2207,Undenatured ethyl alcohol ≥80%,Free,Free,Canada-UK TCA,LT,
2208,Spirits and liqueurs,Free,Free,Canada-UK TCA,LT,Canadian whisky 0%; UK 0% MFN on spirits
2209,Vinegar,Free,Free,Canada-UK TCA,LT,
23,ANIMAL FEED RESIDUES,,,,
2304,Soya-bean oil-cake,Free,Free,Canada-UK TCA,KG,
2306,Oil-cake of rapeseed/canola,Free,Free,Canada-UK TCA,KG,
2309,Preparations for animal feeding,Free,Free,Canada-UK TCA,KG,
24,TOBACCO,,,,
2401,Unmanufactured tobacco,Free,Free,Canada-UK TCA,KG,UK reduced tobacco leaf tariff vs EU
2402,Cigars cigarillos cigarettes,Free,Free,Canada-UK TCA,THD,
25,SALT SULPHUR EARTH STONE,,,,
2501,Salt,Free,Free,Canada-UK TCA,KG,
2503,Sulphur,Free,Free,Canada-UK TCA,KG,
26,ORES SLAG AND ASH,,,,
2601,Iron ores and concentrates,Free,Free,Canada-UK TCA,KG,
2603,Copper ores and concentrates,Free,Free,Canada-UK TCA,KG,
2604,Nickel ores and concentrates,Free,Free,Canada-UK TCA,KG,
2612,Uranium ores and concentrates,Free,Free,Canada-UK TCA,KG,
27,MINERAL FUELS AND OILS,,,,
2701,Coal and solid fuels from coal,Free,Free,Canada-UK TCA,KG,
2709,Crude petroleum oils,Free,Free,Canada-UK TCA,BBL,
2710,Petroleum products refined,Free,Free,Canada-UK TCA,BBL,
2711,Natural gas,Free,Free,Canada-UK TCA,GJ,
2713,Petroleum coke,Free,Free,Canada-UK TCA,KG,
28,INORGANIC CHEMICALS,,,,
2814,Ammonia anhydrous,5.5%,Free,Canada-UK TCA,KG,
29,ORGANIC CHEMICALS,,,,
2901,Acyclic hydrocarbons,Free,Free,Canada-UK TCA,KG,
2902,Cyclic hydrocarbons,Free,Free,Canada-UK TCA,KG,
30,PHARMACEUTICAL PRODUCTS,,,,
3004,Medicaments in measured doses,Free,Free,Canada-UK TCA,KG,
3005,Wadding gauze bandages,Free,Free,Canada-UK TCA,KG,
31,FERTILIZERS,,,,
3104,Mineral or chemical potassic fertilizers,Free,Free,Canada-UK TCA,KG,Canada world top potash producer
3105,Mixed mineral fertilizers NES,Free-6.5%,Free,Canada-UK TCA,KG,
39,PLASTICS AND ARTICLES THEREOF,,,,
3901,Polymers of ethylene,6.5%,Free,Canada-UK TCA,KG,
3902,Polymers of propylene,6.5%,Free,Canada-UK TCA,KG,
3904,Polymers of vinyl chloride PVC,6.5%,Free,Canada-UK TCA,KG,
3920,Other plates and sheets of plastics,6.5%,Free,Canada-UK TCA,KG,
40,RUBBER AND ARTICLES THEREOF,,,,
4011,New pneumatic tyres,4.5%,Free,Canada-UK TCA,NMB,
43,FURSKINS AND ARTICLES,,,,
4301,Raw furskins mink fox,Free,Free,Canada-UK TCA,KG,Canada major furskin exporter
4302,Tanned or dressed furskins,Free,Free,Canada-UK TCA,KG,
44,WOOD AND ARTICLES OF WOOD,,,,
4403,Wood in the rough (logs),Free,Free,Canada-UK TCA,M3,
4407,Wood sawn or chipped (lumber),Free,Free,Canada-UK TCA,M3,No CVD/AD duties; UK sources Canadian lumber
4410,Particle board OSB,Free,Free,Canada-UK TCA,KG,
4411,Fibreboard MDF,Free,Free,Canada-UK TCA,KG,
4412,Plywood veneered panels,Free,Free,Canada-UK TCA,M2,
47,PULP OF WOOD,,,,
4701,Mechanical wood pulp,Free,Free,Canada-UK TCA,KG,
4703,Chemical wood pulp soda sulphate,Free,Free,Canada-UK TCA,KG,
48,PAPER AND PAPERBOARD,,,,
4801,Newsprint in rolls or sheets,Free,Free,Canada-UK TCA,KG,
4802,Uncoated paper for writing printing,Free,Free,Canada-UK TCA,KG,
4804,Kraft paper uncoated,Free,Free,Canada-UK TCA,KG,
61,CLOTHING KNITTED OR CROCHETED,,,,
6101,Mens overcoats knitted,12%,Free,Canada-UK TCA,NMB,
6109,T-shirts singlets knitted,12%,Free,Canada-UK TCA,NMB,
6110,Jerseys pullovers knitted,12%,Free,Canada-UK TCA,NMB,
62,CLOTHING NOT KNITTED,,,,
6201,Mens overcoats woven,12%,Free,Canada-UK TCA,NMB,
64,FOOTWEAR,,,,
6401,Waterproof footwear rubber soles,16.9%,Free,Canada-UK TCA,PR,
6403,Footwear with leather uppers,3.7-8%,Free,Canada-UK TCA,PR,
71,PRECIOUS METALS AND GEMS,,,,
7106,Silver unwrought powder,Free,Free,Canada-UK TCA,KG,
7108,Gold unwrought monetary,Free,Free,Canada-UK TCA,KG,Canada major gold producer
7110,Platinum group metals,Free,Free,Canada-UK TCA,KG,
7113,Jewellery articles precious metal,2.5%,Free,Canada-UK TCA,KG,
72,IRON AND STEEL,,,,
7207,Semi-finished products iron steel,Free,Free,Canada-UK TCA,KG,UK steel safeguard TRQs: 25% above quota
7208,Flat-rolled iron non-alloy hot-rolled,Free,Free,Canada-UK TCA,KG,UK steel safeguard TRQs apply
7219,Flat-rolled stainless steel,Free,Free,Canada-UK TCA,KG,UK steel safeguard TRQs apply
73,ARTICLES OF IRON AND STEEL,,,,
7304,Tubes pipes and hollow profiles,Free,Free,Canada-UK TCA,KG,UK steel safeguard TRQs apply
74,COPPER AND ARTICLES THEREOF,,,,
7403,Refined copper unwrought,Free,Free,Canada-UK TCA,KG,MFN Free under UKGT
7408,Copper wire,Free,Free,Canada-UK TCA,KG,
75,NICKEL AND ARTICLES THEREOF,,,,
7502,Unwrought nickel,Free,Free,Canada-UK TCA,KG,Canada major nickel producer
76,ALUMINIUM AND ARTICLES THEREOF,,,,
7601,Unwrought aluminium,Free,Free,Canada-UK TCA,KG,UK reduced MFN; 0% TCA
7604,Aluminium bars rods profiles,Free,Free,Canada-UK TCA,KG,0% TCA
7606,Aluminium plates sheets strip foil,Free,Free,Canada-UK TCA,KG,0% TCA
79,ZINC AND ARTICLES THEREOF,,,,
7901,Unwrought zinc,Free,Free,Canada-UK TCA,KG,UK UKGT 0% MFN on zinc
84,NUCLEAR REACTORS AND MACHINERY,,,,
8401,Nuclear reactors fuel elements,Free,Free,Canada-UK TCA,NMB,
8411,Turbojets turbopropellers gas turbines,Free,Free,Canada-UK TCA,NMB,Pratt & Whitney Canada
8471,Automatic data processing machines,Free,Free,Canada-UK TCA,NMB,
8479,Machines and mechanical appliances NES,Free,Free,Canada-UK TCA,NMB,
85,ELECTRICAL MACHINERY AND EQUIPMENT,,,,
8501,Electric motors and generators,Free-2.7%,Free,Canada-UK TCA,NMB,
8504,Electrical transformers inductors,Free,Free,Canada-UK TCA,NMB,
8507,Electric storage batteries,Free-3.4%,Free,Canada-UK TCA,NMB,
8517,Telephone sets network equipment,Free,Free,Canada-UK TCA,NMB,
8544,Insulated wire cable optical fibre,Free-2.7%,Free,Canada-UK TCA,KG,
87,VEHICLES,,,,
8703,Passenger motor vehicles,6.5%,Free,Canada-UK TCA,NMB,0% under Canada-UK TCA (carried over CETA terms)
8704,Motor vehicles for goods transport,6.5%,Free,Canada-UK TCA,NMB,0% TCA
8708,Parts and accessories for vehicles,Free-4.5%,Free,Canada-UK TCA,KG,
88,AIRCRAFT AND SPACECRAFT,,,,
8802,Helicopters aeroplanes gliders,Free,Free,Canada-UK TCA,NMB,Bombardier aircraft; Canadian aerospace
8803,Parts of aircraft or spacecraft,Free,Free,Canada-UK TCA,KG,
90,OPTICAL MEASURING INSTRUMENTS,,,,
9018,Medical surgical dental instruments,Free,Free,Canada-UK TCA,NMB,
9031,Measuring checking testing instruments,Free,Free,Canada-UK TCA,NMB,
94,FURNITURE,,,,
9401,Seats chairs sofas,Free,Free,Canada-UK TCA,NMB,
9403,Other furniture wood metal plastic,Free,Free,Canada-UK TCA,NMB,
95,TOYS GAMES SPORTS EQUIPMENT,,,,
9503,Toys NES tricycles scooters,Free-4.7%,Free,Canada-UK TCA,NMB,
97,WORKS OF ART ANTIQUES,,,,
9701,Paintings drawings pastels,Free,Free,Canada-UK TCA,NMB,
9706,Antiques over 100 years old,Free,Free,Canada-UK TCA,NMB,
