hs_code,description,mfn_rate,canada_preferential_rate,fta_name,uom,notes
2002,Tomatoes prepared or preserved,Free,Free,USMCA,KG,
2004,Other vegetables prepared frozen,Free,Free,USMCA,KG,
2007,Jams jellies marmalades,Free,Free,USMCA,KG,
2009,Fruit juices unfermented,Free,Free,USMCA,LT,
21,MISCELLANEOUS FOOD PREPARATIONS,,,,
2101,Extracts of coffee tea mate,Free,Free,USMCA,KG,
2103,Sauces condiments mixed seasonings,Free,Free,USMCA,KG,
2104,Soups and broths,Free,Free,USMCA,KG,
2105,Ice cream and edible ices,20%,Free,USMCA,KG,
2106,Food preparations NES,Free,Free,USMCA,KG,
22,BEVERAGES,,,,
2201,Waters and mineral waters,Free,Free,USMCA,LT,
2202,Non-alcoholic beverages,Free,Free,USMCA,LT,
2203,Beer made from malt,2.5¢/litre,Free,USMCA,LT,
2204,Wine of fresh grapes,6.3¢/litre,Free,USMCA,LT,
2205,Vermouth and flavoured wines,Free,Free,USMCA,LT,
2206,Other fermented beverages cider,Free,Free,USMCA,LT,
2207,Undenatured ethyl alcohol ≥80%,Free,Free,USMCA,LT,
2208,Spirits whiskies brandy,1.32$/proof litre,Free,USMCA,LT,Canadian whisky major export
2209,Vinegar,Free,Free,USMCA,LT,
23,ANIMAL FEED RESIDUES,,,,
2301,Flours meals of meat or fish,Free,Free,USMCA,KG,
2302,Bran residues from cereals,Free,Free,USMCA,KG,
2303,Residues from brewing starch,Free,Free,USMCA,KG,
2304,Soya-bean oil-cake,Free,Free,USMCA,KG,
2306,Oil-cake of canola/rapeseed,Free,Free,USMCA,KG,
2309,Preparations for animal feeding,Free,Free,USMCA,KG,
24,TOBACCO,,,,
2401,Unmanufactured tobacco,Free,Free,USMCA,KG,
2402,Cigars cigarillos and cigarettes,Free,Free,USMCA,THD,
2403,Other manufactured tobacco,Free,Free,USMCA,KG,
25,SALT SULPHUR EARTH STONE,,,,
2501,Salt,Free,Free,USMCA,KG,
2503,Sulphur,Free,Free,USMCA,KG,
2504,Natural graphite,Free,Free,USMCA,KG,
2505,Natural sands,Free,Free,USMCA,KG,
2510,Natural calcium phosphates,Free,Free,USMCA,KG,
2515,Marble travertine and similar,Free,Free,USMCA,KG,
2516,Granite porphyry,Free,Free,USMCA,KG,
2517,Pebbles gravel broken stone,Free,Free,USMCA,KG,
2523,Portland cement,Free,Free,USMCA,KG,
26,ORES SLAG AND ASH,,,,
2601,Iron ores and concentrates,Free,Free,USMCA,KG,Major Canadian export
2603,Copper ores and concentrates,Free,Free,USMCA,KG,
2604,Nickel ores and concentrates,Free,Free,USMCA,KG,
2606,Aluminium ores and bauxite,Free,Free,USMCA,KG,
2607,Lead ores and concentrates,Free,Free,USMCA,KG,
2608,Zinc ores and concentrates,Free,Free,USMCA,KG,
2612,Uranium and thorium ores,Free,Free,USMCA,KG,
2616,Precious metal ores concentrates,Free,Free,USMCA,KG,
2620,Slag ash residues,Free,Free,USMCA,KG,
27,MINERAL FUELS AND OILS,,,,
2701,Coal and solid fuel from coal,Free,Free,USMCA,KG,
2703,Peat,Free,Free,USMCA,KG,
2704,Coke and semi-coke of coal,Free,Free,USMCA,KG,
2709,Crude petroleum oils,10.5¢/bbl,Free,USMCA,BBL,Canada #1 supplier to US; EO tariff 10% on energy effective Mar 2025
2710,Petroleum products refined,5.25¢/bbl,Free,USMCA,BBL,EO tariff 10% on energy effective Mar 2025
2711,Natural gas petroleum gas,Free,Free,USMCA,GJ,EO tariff 10% on energy effective Mar 2025
2712,Petroleum jelly paraffin wax,Free,Free,USMCA,KG,
2713,Petroleum coke bituminous,Free,Free,USMCA,KG,
2714,Natural bitumen and asphalt,Free,Free,USMCA,KG,
28,INORGANIC CHEMICALS,,,,
2801,Fluorine chlorine bromine iodine,Free,Free,USMCA,KG,
2804,Hydrogen oxygen noble gases,3.7%,Free,USMCA,KG,
2807,Sulphuric acid,Free,Free,USMCA,KG,
2814,Ammonia anhydrous in solution,Free,Free,USMCA,KG,
2818,Artificial corundum aluminium oxide,Free,Free,USMCA,KG,
2836,Carbonates peroxocarbonates,Free,Free,USMCA,KG,
29,ORGANIC CHEMICALS,,,,
2901,Acyclic hydrocarbons,Free,Free,USMCA,KG,
2902,Cyclic hydrocarbons,Free,Free,USMCA,KG,
2903,Halogenated hydrocarbons,Free,Free,USMCA,KG,
2905,Acyclic alcohols methanol ethanol,Free,Free,USMCA,KG,
2915,Saturated acyclic monocarboxylic acids,Free,Free,USMCA,KG,
30,PHARMACEUTICAL PRODUCTS,,,,
3002,Blood human animal vaccines,Free,Free,USMCA,KG,
3003,Medicaments (mixed) not in doses,Free,Free,USMCA,KG,
3004,Medicaments in measured doses,Free,Free,USMCA,KG,
3005,Wadding gauze bandages,Free,Free,USMCA,KG,
3006,Pharmaceutical goods NES,Free,Free,USMCA,KG,
31,FERTILIZERS,,,,
3101,Animal or vegetable fertilizers,Free,Free,USMCA,KG,
3102,Mineral or chemical nitrogenous fertilizers,Free,Free,USMCA,KG,
3103,Mineral or chemical phosphate fertilizers,Free,Free,USMCA,KG,
3104,Mineral or chemical potassic fertilizers,Free,Free,USMCA,KG,Canada world's top potash producer
3105,Mixed mineral fertilizers NES,Free,Free,USMCA,KG,
32,TANNING AND DYEING,,,,
3201,Tanning extracts vegetable,Free,Free,USMCA,KG,
3204,Synthetic organic colouring,3.7%,Free,USMCA,KG,
3208,Paints and varnishes in organic solvent,3.7%,Free,USMCA,LT,
3209,Aqueous paints and varnishes,Free,Free,USMCA,LT,
33,ESSENTIAL OILS AND COSMETICS,,,,
3301,Essential oils concentrated,Free,Free,USMCA,KG,
3303,Perfumes and toilet waters,Free,Free,USMCA,KG,
3304,Beauty and make-up preparations,Free,Free,USMCA,KG,
3305,Hair preparations,Free,Free,USMCA,KG,
34,SOAP AND DETERGENTS,,,,
3401,Soap organic surface-active products,Free,Free,USMCA,KG,
3402,Surface-active agents washing preps,3.7%,Free,USMCA,KG,
3405,Polishes and creams for leather,Free,Free,USMCA,KG,
35,PROTEIN SUBSTANCES,,,,
3501,Caseins caseinates,Free,Free,USMCA,KG,
3504,Peptones and derivatives,Free,Free,USMCA,KG,
3507,Enzymes prepared enzymes,Free,Free,USMCA,KG,
38,MISCELLANEOUS CHEMICALS,,,,
3801,Artificial graphite colloidal,Free,Free,USMCA,KG,
3802,Activated carbon activated earth,Free,Free,USMCA,KG,
3808,Insecticides herbicides fungicides,Free,Free,USMCA,KG,
3824,Prepared binders for foundry moulds,Free,Free,USMCA,KG,
39,PLASTICS AND ARTICLES THEREOF,,,,
3901,Polymers of ethylene polyethylene,3.4%,Free,USMCA,KG,
3902,Polymers of propylene,Free,Free,USMCA,KG,
3903,Polymers of styrene polystyrene,Free,Free,USMCA,KG,
3904,Polymers of vinyl chloride PVC,6.5%,Free,USMCA,KG,
3907,Polyacetals polyethers polycarbonates,Free,Free,USMCA,KG,
3917,Tubes pipes hoses of plastics,3.1%,Free,USMCA,KG,
3920,Other plates and sheets of plastics,Free,Free,USMCA,KG,
3923,Articles for packing of plastics,3%,Free,USMCA,KG,
40,RUBBER AND ARTICLES THEREOF,,,,
4001,Natural rubber and gums,Free,Free,USMCA,KG,
4002,Synthetic rubber and factice,Free,Free,USMCA,KG,
4011,New pneumatic tyres,3.4%,Free,USMCA,NMB,
4016,Other articles of vulcanised rubber,2.5%,Free,USMCA,KG,
41,HIDES AND LEATHER,,,,
4101,Raw hides and skins of bovine,Free,Free,USMCA,KG,
4104,Tanned/crust hides of bovine equine,Free,Free,USMCA,KG,
4107,Leather further prepared,Free,Free,USMCA,KG,
42,LEATHER GOODS,,,,
4202,Travel goods handbags wallets,Free,Free,USMCA,NMB,
4203,Articles of apparel of leather,Free,Free,USMCA,NMB,
43,FURSKINS AND ARTICLES,,,,
4301,Raw furskins mink fox,Free,Free,USMCA,KG,Canada major furskin exporter
4302,Tanned or dressed furskins,Free,Free,USMCA,KG,
4303,Articles of apparel of furskin,Free,Free,USMCA,NMB,
44,WOOD AND ARTICLES OF WOOD,,,,
4401,Fuel wood wood chips pellets,Free,Free,USMCA,KG,
4403,Wood in the rough (logs),Free,Free,USMCA,M3,
4407,Wood sawn or chipped (lumber),Free,Free,USMCA,M3,MFN 0%; separate CVD/AD duties ~8-20% on softwood lumber
4408,Sheets for veneering plywood,Free,Free,USMCA,KG,
4410,Particle board OSB,Free,Free,USMCA,KG,
4411,Fibreboard MDF,Free,Free,USMCA,KG,
4412,Plywood veneered panels,8%,Free,USMCA,M2,
4418,Builders joinery and carpentry,Free,Free,USMCA,KG,
45,CORK AND ARTICLES OF CORK,,,,
4502,Natural cork worked,Free,Free,USMCA,KG,
46,MANUFACTURES OF STRAW,,,,
4601,Plaiting materials baskets,Free,Free,USMCA,KG,
47,PULP OF WOOD,,,,
4701,Mechanical wood pulp,Free,Free,USMCA,KG,Major Canadian export
4702,Chemical wood pulp dissolving,Free,Free,USMCA,KG,
4703,Chemical wood pulp soda or sulphate,Free,Free,USMCA,KG,
4704,Chemical wood pulp sulphite,Free,Free,USMCA,KG,
48,PAPER AND PAPERBOARD,,,,
4801,Newsprint in rolls or sheets,Free,Free,USMCA,KG,Major Canadian export
4802,Uncoated paper for writing printing,Free,Free,USMCA,KG,
4803,Tissue paper,Free,Free,USMCA,KG,
4804,Kraft paper uncoated,Free,Free,USMCA,KG,
4805,Other uncoated paper NES,Free,Free,USMCA,KG,
4808,Corrugated paper and paperboard,Free,Free,USMCA,KG,
4810,Coated paper for printing,Free,Free,USMCA,KG,
49,PRINTED MATTER,,,,
4901,Printed books brochures,Free,Free,USMCA,KG,
4902,Newspapers periodicals,Free,Free,USMCA,KG,
4911,Other printed matter,Free,Free,USMCA,KG,
50,SILK,,,,
5004,Silk yarn not retail,Free,Free,USMCA,KG,
51,WOOL AND FINE ANIMAL HAIR,,,,
5101,Wool not carded or combed,Free,Free,USMCA,KG,
5106,Wool yarn for weaving,Free,Free,USMCA,KG,
52,COTTON,,,,
5201,Cotton not carded or combed,Free,Free,USMCA,KG,
5208,Woven fabrics of cotton,8.4%,Free,USMCA,M2,Rules of origin: yarn-forward
54,MAN-MADE FILAMENTS,,,,
5402,Synthetic filament yarn,8%,Free,USMCA,KG,
55,MAN-MADE STAPLE FIBRES,,,,
5509,Yarn of other synthetic staple,8%,Free,USMCA,KG,
57,CARPETS AND FLOOR COVERINGS,,,,
5701,Carpets of wool knotted,Free,Free,USMCA,M2,
5702,Carpets woven not tufted,Free,Free,USMCA,M2,
5703,Carpets tufted,Free,Free,USMCA,M2,
61,CLOTHING KNITTED OR CROCHETED,,,,
6101,Mens overcoats knitted,Free,Free,USMCA,NMB,Rules of origin: yarn-forward
6109,T-shirts singlets knitted,16.5%,Free,USMCA,NMB,
6110,Jerseys pullovers knitted,16.5%,Free,USMCA,NMB,
62,CLOTHING NOT KNITTED,,,,
6201,Mens overcoats woven,Free,Free,USMCA,NMB,
6204,Womens suits jackets woven,Free,Free,USMCA,NMB,
6211,Track suits ski suits woven,Free,Free,USMCA,NMB,
63,OTHER TEXTILE ARTICLES,,,,
6301,Blankets and travelling rugs,Free,Free,USMCA,NMB,
6302,Bed linen table linen,Free,Free,USMCA,NMB,
6305,Sacks and bags for packing,Free,Free,USMCA,NMB,
64,FOOTWEAR,,,,
6401,Waterproof footwear with rubber,37.5%,Free,USMCA,PR,
6402,Other footwear with rubber soles,Free,Free,USMCA,PR,
6403,Footwear with leather uppers,8.5%,Free,USMCA,PR,
6404,Footwear with textile uppers,Free,Free,USMCA,PR,
65,HEADGEAR,,,,
6506,Other headgear,Free,Free,USMCA,NMB,
68,ARTICLES OF STONE PLASTER CEMENT,,,,
6801,Setts curbstones flagstones,Free,Free,USMCA,KG,
6802,Worked monumental building stone,3.7%,Free,USMCA,KG,
6810,Articles of cement concrete,Free,Free,USMCA,KG,
69,CERAMIC PRODUCTS,,,,
6901,Bricks blocks tiles ceramic,Free,Free,USMCA,NMB,
6907,Ceramic flags paving tiles,Free,Free,USMCA,M2,
70,GLASS AND GLASSWARE,,,,
7005,Float glass drawn blown,3%,Free,USMCA,M2,
7007,Safety glass tempered laminated,3.9%,Free,USMCA,M2,
7009,Glass mirrors,Free,Free,USMCA,NMB,
7013,Glassware for table kitchen,Free,Free,USMCA,NMB,
71,PRECIOUS METALS AND GEMS,,,,
7101,Pearls natural or cultured,Free,Free,USMCA,KG,
7102,Diamonds,Free,Free,USMCA,CT,
7106,Silver unwrought powder,Free,Free,USMCA,KG,
7108,Gold unwrought monetary,Free,Free,USMCA,KG,Canada major gold producer
7110,Platinum group metals,Free,Free,USMCA,KG,
7113,Jewellery articles precious metal,5%,Free,USMCA,KG,
72,IRON AND STEEL,,,,
7201,Pig iron spiegeleisen,Free,Free,USMCA,KG,Section 232: 25% on steel from Canada (reinstated March 2025)
7207,Semi-finished products iron steel,Free,Free,USMCA,KG,Section 232: 25%
7208,Flat-rolled iron non-alloy hot-rolled,Free,Free,USMCA,KG,Section 232: 25%
7209,Flat-rolled iron non-alloy cold-rolled,Free,Free,USMCA,KG,Section 232: 25%
7213,Bars rods hot-rolled in coils,Free,Free,USMCA,KG,Section 232: 25%
7214,Other bars and rods iron steel,Free,Free,USMCA,KG,Section 232: 25%
7216,Angles shapes sections iron steel,Free,Free,USMCA,KG,Section 232: 25%
7217,Wire of iron or non-alloy steel,Free,Free,USMCA,KG,Section 232: 25%
7219,Flat-rolled stainless steel,Free,Free,USMCA,KG,Section 232: 25%
7225,Flat-rolled other alloy steel,Free,Free,USMCA,KG,Section 232: 25%
73,ARTICLES OF IRON AND STEEL,,,,
7304,Tubes pipes and hollow profiles,Free,Free,USMCA,KG,Section 232: 25%; OCTG critical for oil/gas
7306,Other tubes pipes iron steel,Free,Free,USMCA,KG,Section 232: 25%
7308,Structures and parts iron steel,Free,Free,USMCA,KG,Section 232: 25%
7312,Stranded wire ropes cables iron steel,Free,Free,USMCA,KG,Section 232: 25%
74,COPPER AND ARTICLES THEREOF,,,,
7402,Unrefined copper blister,Free,Free,USMCA,KG,
7403,Refined copper unwrought,1%,Free,USMCA,KG,
7407,Copper bars rods profiles,1%,Free,USMCA,KG,
7408,Copper wire,1%,Free,USMCA,KG,
7409,Copper plates sheets strip foil,1%,Free,USMCA,KG,
75,NICKEL AND ARTICLES THEREOF,,,,
7501,Nickel mattes,Free,Free,USMCA,KG,
7502,Unwrought nickel,Free,Free,USMCA,KG,Canada major nickel producer (Ontario Sudbury)
7503,Nickel waste and scrap,Free,Free,USMCA,KG,
7505,Nickel bars rods profiles wire,3%,Free,USMCA,KG,
7506,Nickel plates sheets strip foil,3%,Free,USMCA,KG,
76,ALUMINIUM AND ARTICLES THEREOF,,,,
7601,Unwrought aluminium,2.6%,Free,USMCA,KG,Section 232: 10% from Canada (reinstated March 2025)
7602,Aluminium waste and scrap,Free,Free,USMCA,KG,
7604,Aluminium bars rods profiles,3%,Free,USMCA,KG,Section 232: 10%
7605,Aluminium wire,3%,Free,USMCA,KG,Section 232: 10%
7606,Aluminium plates sheets strip foil,3%,Free,USMCA,KG,Section 232: 10%
7607,Aluminium foil,3.7%,Free,USMCA,KG,Section 232: 10%
7608,Aluminium tubes and pipes,3%,Free,USMCA,KG,Section 232: 10%
78,LEAD AND ARTICLES THEREOF,,,,
7801,Unwrought lead,2.5%,Free,USMCA,KG,
7802,Lead waste and scrap,Free,Free,USMCA,KG,
79,ZINC AND ARTICLES THEREOF,,,,
7901,Unwrought zinc,1.5%,Free,USMCA,KG,Canada significant zinc producer
7902,Zinc waste and scrap,Free,Free,USMCA,KG,
7904,Zinc bars rods profiles and wire,Free,Free,USMCA,KG,
81,OTHER BASE METALS,,,,
8101,Tungsten and articles,Free,Free,USMCA,KG,
8104,Magnesium and articles,Free,Free,USMCA,KG,
8108,Titanium and articles,Free,Free,USMCA,KG,
82,TOOLS IMPLEMENTS CUTLERY,,,,
8201,Hand tools axes adzes chisels,Free,Free,USMCA,NMB,
8205,Hand tools NES,Free,Free,USMCA,NMB,
8207,Interchangeable tools for tools,Free,Free,USMCA,NMB,
84,NUCLEAR REACTORS AND MACHINERY,,,,
8401,Nuclear reactors fuel elements,Free,Free,USMCA,NMB,CANDU reactor technology Canadian
8411,Turbojets turbopropellers gas turbines,Free,Free,USMCA,NMB,Pratt & Whitney Canada; major export
8414,Air or vacuum pumps,Free,Free,USMCA,NMB,
8426,Cranes derricks mobile lifting,Free,Free,USMCA,NMB,
8429,Self-propelled bulldozers scrapers,Free,Free,USMCA,NMB,Mining equipment
8432,Agricultural soil preparation machinery,Free,Free,USMCA,NMB,
8433,Harvesting threshing machinery,Free,Free,USMCA,NMB,
8450,Household washing machines,1.4%,Free,USMCA,NMB,
8471,Automatic data processing machines,Free,Free,USMCA,NMB,
8474,Sorting screening separating machinery,Free,Free,USMCA,NMB,Mining equipment
8479,Machines and mechanical appliances NES,Free,Free,USMCA,NMB,
8481,Taps cocks valves for pipes,2%,Free,USMCA,NMB,
8483,Transmission shafts gears clutches,Free,Free,USMCA,KG,
85,ELECTRICAL MACHINERY AND EQUIPMENT,,,,
8501,Electric motors and generators,Free,Free,USMCA,NMB,
8504,Electrical transformers inductors,Free,Free,USMCA,NMB,
8507,Electric storage batteries,3.4%,Free,USMCA,NMB,EV battery supply chain critical
8517,Telephone sets network equipment,Free,Free,USMCA,NMB,
8525,Transmission apparatus for radio TV,Free,Free,USMCA,NMB,
8528,Monitors projectors TV receivers,Free,Free,USMCA,NMB,
8537,Boards panels for electric control,Free,Free,USMCA,NMB,
8541,Diodes transistors semiconductor devices,Free,Free,USMCA,NMB,
8544,Insulated wire cable optical fibre,Free,Free,USMCA,KG,
87,VEHICLES,,,,
8701,Tractors,Free,Free,USMCA,NMB,
8702,Motor vehicles for 10+ persons (buses),Free,Free,USMCA,NMB,
8703,Passenger motor vehicles,2.5%,Free,USMCA,NMB,USMCA: 0% if ≥75% North American content; Ontario auto sector
8704,Motor vehicles for goods transport,25% light trucks,Free,USMCA,NMB,Chicken tax on light trucks; USMCA compliant = 0%
8705,Special purpose motor vehicles,Free,Free,USMCA,NMB,
8707,Bodies for motor vehicles,2.5%,Free,USMCA,NMB,
8708,Parts and accessories for vehicles,2.5%,Free,USMCA,KG,Massive Canada-US trade flow
8711,Motorcycles and motor cycles,Free,Free,USMCA,NMB,
88,AIRCRAFT AND SPACECRAFT,,,,
8802,Helicopters aeroplanes gliders,Free,Free,USMCA,NMB,Bombardier; Pratt & Whitney Canada
8803,Parts of aircraft or spacecraft,Free,Free,USMCA,KG,Major Canadian aerospace export
89,SHIPS AND BOATS,,,,
8901,Cruise ships cargo ships tankers,Free,Free,USMCA,NMB,
8903,Yachts pleasure craft,1.5%,Free,USMCA,NMB,
90,OPTICAL MEASURING INSTRUMENTS,,,,
9001,Optical fibres lenses prisms,Free,Free,USMCA,NMB,
9018,Medical surgical dental instruments,Free,Free,USMCA,NMB,
9022,X-ray computed tomography apparatus,Free,Free,USMCA,NMB,
9025,Thermometers barometers hydrometers,Free,Free,USMCA,NMB,
9026,Instruments for measuring flow liquid,Free,Free,USMCA,NMB,
9031,Measuring checking testing instruments,Free,Free,USMCA,NMB,
9032,Automatic regulating instruments,Free,Free,USMCA,NMB,
91,CLOCKS AND WATCHES,,,,
9101,Wrist watches pocket watches,Free,Free,USMCA,NMB,
9105,Other clocks,Free,Free,USMCA,NMB,
94,FURNITURE,,,,
9401,Seats chairs sofas,Free,Free,USMCA,NMB,
9403,Other furniture wood metal plastic,Free,Free,USMCA,NMB,
9404,Mattress supports mattresses,Free,Free,USMCA,NMB,
9405,Luminaires lamps lighting,3.9%,Free,USMCA,NMB,
95,TOYS GAMES SPORTS EQUIPMENT,,,,
9503,Tricycles scooters toys NES,Free,Free,USMCA,NMB,
9504,Video game consoles,Free,Free,USMCA,NMB,
9506,Exercise equipment sports goods,Free,Free,USMCA,NMB,
96,MISCELLANEOUS MANUFACTURED,,,,
9603,Brooms brushes mops sponges,Free,Free,USMCA,NMB,
9607,Slide fasteners zippers,8.5%,Free,USMCA,NMB,
